"hash","author","date","message"
"c0be55a","Truta Bogdan-Alexandru","2026-03-26","fix"
"bf28c8a","Truta Bogdan-Alexandru","2026-03-12","Merge branch 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"d410d32","Truta Bogdan-Alexandru","2026-03-11","s"
"003aa41","Truta Bogdan-Alexandru","2026-03-12","."
"8d64de2","Truta Bogdan-Alexandru","2026-03-12","Update Bogdan.md"
"ca85589","Truta Bogdan-Alexandru","2026-03-12","Update Bogdan.md"
"ed9bd2b","Truta Bogdan-Alexandru","2026-03-14","Clean"
"89e62a6","Truta Bogdan-Alexandru","2026-03-25","Merge pull request #3 from Bogzx/feature/rules"
"6d346d0","Truta Bogdan-Alexandru","2026-03-11","Merge branch 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"07782b9","Truta Bogdan-Alexandru","2026-03-11","Create Beatrice.md"
"93aaad6","Bogzx","2026-03-12","fix"
"5485481","Bogzx","2026-03-24","InitialFiles"
"5676f52","Bogzx","2026-03-25","Merge origin/dev into feature/movie-swipe and resolve .vs conflicts"
"8053984","Bogzx","2026-03-25","Add movie feed"
"f0ce414","Bogzx","2026-03-24","req"
"8cf47ee","Bogzx","2026-03-25","MainFeature"
